Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P0CX37	RS6A_YEAST	40S ribosomal protein S6-A (RP9) (S10) (Small ribosomal subunit protein eS6-A) (YS4)	RPS6A RPS101 RPS10B YPL090C LPG18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	236	26,996	RPS101 RPS10B	RPS6A	LPG18C	YPL090C	PF01092;		Eukaryotic ribosomal protein eS6 family	Electron microscopy (70); X-ray crystallography (37)
P41057	RS29A_YEAST	40S ribosomal protein S29-A (S36) (Small ribosomal subunit protein uS14-A) (YS29)	RPS29A RPS36A YS29A YLR388W L8084.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	56	6,661	RPS36A YS29A	RPS29A	L8084.11	YLR388W	PF00253;		Universal ribosomal protein uS14 family	Electron microscopy (43); X-ray crystallography (38)
P47025	MDV1_YEAST	Mitochondrial division protein 1 (Mitochondria fission 2 protein)	MDV1 FIS2 GAG3 NET2 YJL112W J0802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	714	80,032	FIS2 GAG3 NET2	MDV1	J0802	YJL112W	PF11542;PF00400;	SSF50978;	WD repeat MDV1/CAF4 family	X-ray crystallography (4)
P38880	MDM31_YEAST	Mitochondrial distribution and morphology protein 31	MDM31 YHR194W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	579	66,703		MDM31		YHR194W	PF08118;		MDM31/MDM32 family	
P24719	MEK1_YEAST	Meiosis-specific serine/threonine-protein kinase MEK1 (EC 2.7.11.1)	MEK1 MRE4 YOR351C O6357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497	56,850	MRE4	MEK1	O6357	YOR351C	PF00498;PF00069;	SSF49879;SSF56112;	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CHEK2 subfamily	X-ray crystallography (2)
P53123	MRM2_YEAST	rRNA methyltransferase 2, mitochondrial (EC 2.1.1.168) (21S rRNA (uridine(2791)-2'-O)-methyltransferase) (21S rRNA [Um2791] 2'-O-methyltransferase)	MRM2 YGL136C G2830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	320	37,423		MRM2	G2830	YGL136C	PF01728;	SSF53335;	Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family	
Q07349	MRX9_YEAST	MIOREX complex component 9 (Mitochondrial organization of gene expression protein 9)	MRX9 YDL027C D2800	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420	48,312		MRX9	D2800	YDL027C				
Q08925	MRN1_YEAST	RNA-binding protein MRN1 (Multicopy suppressor of RSC-NHP6 synthetic lethality protein 1) (Post-transcriptional regulator of 69 kDa)	MRN1 PTR69 YPL184C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	612	68,664	PTR69	MRN1		YPL184C	PF00076;	SSF54928;		
P38860	MTG2_YEAST	GTPase MTG2, mitochondrial (Mitochondrial GTPase 2)	MTG2 YHR168W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	518	57,847		MTG2		YHR168W	PF01018;PF01926;	SSF52540;SSF82051;	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	
P47007	MRX5_YEAST	MIOREX complex component 5 (Mitochondrial organization of gene expression protein 5)	MRX5 YJL147C J0639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382	44,863		MRX5	J0639	YJL147C				
P32521	PAN1_YEAST	Actin cytoskeleton-regulatory complex protein PAN1 (Mitochondrial distribution of proteins protein 3)	PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1480	160,267	DIM2 MDP3 MIP3	PAN1	YIB6C	YIR006C	PF08226;PF12763;	SSF47473;	PAN1 family	
Q12375	ORT1_YEAST	Mitochondrial ornithine transporter 1	ORT1 ARG11 YOR130C O3299 YOR3299C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	31,520	ARG11	ORT1	O3299 YOR3299C	YOR130C	PF00153;	SSF103506;	Mitochondrial carrier (TC 2.A.29) family	
P10963	PCKA_YEAST	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)	PCK1 PEPC PPC1 YKR097W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	60,983	PEPC PPC1	PCK1		YKR097W	PF01293;	SSF68923;	Phosphoenolpyruvate carboxykinase (ATP) family	
P04147	PABP_YEAST	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	PAB1 YER165W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577	64,344		PAB1		YER165W	PF00658;PF00076;	SSF54928;SSF63570;	Polyadenylate-binding protein type-1 family	Electron microscopy (1); NMR spectroscopy (1)
P40960	PAC11_YEAST	WD repeat-containing protein PAC11	PAC11 YDR488C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533	60,074		PAC11		YDR488C		SSF50978;		X-ray crystallography (1)
P53010	PAN2_YEAST	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 YGL094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1115	127,039		PAN2		YGL094C	PF00929;PF13423;	SSF50998;SSF53098;SSF54001;	Peptidase C19 family, PAN2 subfamily	Electron microscopy (1); X-ray crystallography (9)
P39081	PCF11_YEAST	Protein PCF11 (protein 1 of CF I)	PCF11 YDR228C YD9934.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	626	71,898		PCF11	YD9934.13C	YDR228C	PF11526;PF04818;	SSF48464;		NMR spectroscopy (2); X-ray crystallography (7)
P42939	MVB12_YEAST	Multivesicular body sorting factor 12 (12 kDa multivesicular body sorting factor) (ESCRT-I complex subunit MVB12)	MVB12 YGR206W G7740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	11,968		MVB12	G7740	YGR206W	PF09452;			X-ray crystallography (1)
P25580	PBN1_YEAST	Protein PBN1 (Protease B non-derepressible protein 1)	PBN1 YCL052C YCL52C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416	47,923		PBN1	YCL52C	YCL052C	PF08320;		PIGX family	
P40530	PDK1_YEAST	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial (PDK 1) (Pyruvate dehydrogenase kinase 1) (EC 2.7.11.2) (Protein kinase of PDH protein 1) (Pyruvate dehydrogenase complex kinase 1) (PDC kinase 1) ([Pyruvate dehydrogenase [lipoamide]] kinase 1)	PKP1 YIL042C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394	45,444		PKP1		YIL042C	PF10436;PF02518;	SSF55874;SSF69012;	PDK/BCKDK protein kinase family	
P39729	RBG1_YEAST	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	RBG1 FUN11 YAL036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369	40,701	FUN11	RBG1		YAL036C	PF01926;PF16897;PF02824;	SSF52540;SSF81271;	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	X-ray crystallography (1)
P33775	PMT1_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 (EC 2.4.1.109)	PMT1 YDL095W D2390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	817	92,675		PMT1	D2390	YDL095W	PF02815;PF02366;PF16192;	SSF82109;	Glycosyltransferase 39 family	Electron microscopy (2)
P46971	PMT4_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 4 (EC 2.4.1.109)	PMT4 YJR143C J2176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	762	87,966		PMT4	J2176	YJR143C	PF02815;PF02366;PF16192;	SSF82109;	Glycosyltransferase 39 family	
Q03407	PKH1_YEAST	Serine/threonine-protein kinase PKH1 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 1)	PKH1 YDR490C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	766	86,253		PKH1		YDR490C	PF00069;	SSF56112;	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily	
P39535	PHO90_YEAST	Low-affinity phosphate transporter PHO90	PHO90 YJL198W J0336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881	97,689		PHO90	J0336	YJL198W	PF03600;PF03105;		CitM (TC 2.A.11) transporter family	
P12689	REV1_YEAST	DNA repair protein REV1 (EC 2.7.7.-) (Reversionless protein 1)	REV1 YOR346W O6339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985	112,227		REV1	O6339	YOR346W	PF16589;PF00817;PF11799;	SSF100879;SSF52113;SSF56672;	DNA polymerase type-Y family	NMR spectroscopy (2); X-ray crystallography (18)
P38206	RFT1_YEAST	Oligosaccharide translocation protein RFT1 (Requiring fifty-three protein 1)	RFT1 YBL020W YBL0442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	574	66,211		RFT1	YBL0442	YBL020W	PF04506;		RFT1 family	
Q08961	RKM1_YEAST	Ribosomal lysine N-methyltransferase 1 (EC 2.1.1.-)	RKM1 YPL208W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583	67,178		RKM1		YPL208W			Class V-like SAM-binding methyltransferase superfamily, RKM1 family	
Q03942	RKM2_YEAST	Ribosomal lysine N-methyltransferase 2 (EC 2.1.1.-)	RKM2 YDR198C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	479	55,950		RKM2		YDR198C			Class V-like SAM-binding methyltransferase superfamily, RKM2 family	
Q12196	RIO1_YEAST	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (Ribosomal RNA-processing protein 10)	RIO1 RRP10 YOR119C O3266 YOR3266C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484	56,122	RRP10	RIO1	O3266 YOR3266C	YOR119C		SSF56112;	Protein kinase superfamily, RIO-type Ser/Thr kinase family	
P40992	RRN7_YEAST	RNA polymerase I-specific transcription initiation factor RRN7	RRN7 YJL025W J1273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	514	60,357		RRN7	J1273	YJL025W	PF11781;		RRN7/TAF1B family	Electron microscopy (16); X-ray crystallography (1)
P02407	RS17A_YEAST	40S ribosomal protein S17-A (RP51A) (Small ribosomal subunit protein eS17-A)	RPS17A RP51A YML024W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	15,788	RP51A	RPS17A		YML024W	PF00833;	SSF116820;	Eukaryotic ribosomal protein eS17 family	Electron microscopy (28); X-ray crystallography (36)
P47065	PT130_YEAST	Protein PET130	PET130 YJL023C J1282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347	39,813		PET130	J1282	YJL023C				
P38876	PTH_YEAST	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	PTH1 YHR189W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190	21,036		PTH1		YHR189W	PF01195;	SSF53178;	PTH family	
P40555	PSMD9_YEAST	Probable 26S proteasome regulatory subunit p27 (Proteasome non-ATPase subunit 2)	NAS2 YIL007C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220	24,846		NAS2		YIL007C	PF18265;PF00595;	SSF50156;	Proteasome subunit p27 family	X-ray crystallography (3)
P53331	REXO1_YEAST	RNA exonuclease 1 (EC 3.1.-.-) (RNase H(70))	RNH70 REX1 YGR276C G9381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	553	62,849	REX1	RNH70	G9381	YGR276C	PF00929;	SSF53098;	REXO1/REXO3 family	
P38883	RIX1_YEAST	Pre-rRNA-processing protein RIX1 (Involved in processing IST2 protein 2) (Ribosomal export protein 1)	RIX1 IPI2 YHR197W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	763	86,739	IPI2	RIX1		YHR197W	PF08167;		RIX1/PELP1 family	Electron microscopy (2)
P38754	RL14B_YEAST	60S ribosomal protein L14-B (Large ribosomal subunit protein eL14-B)	RPL14B YHL001W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	138	15,153		RPL14B		YHL001W	PF01929;	SSF50104;	Eukaryotic ribosomal protein eL14 family	Electron microscopy (3)
P26784	RL16A_YEAST	60S ribosomal protein L16-A (L13a) (L21) (Large ribosomal subunit protein uL13-A) (RP22) (YL15)	RPL16A RPL13 RPL21A YIL133C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199	22,201	RPL13 RPL21A	RPL16A		YIL133C	PF00572;	SSF52161;	Universal ribosomal protein uL13 family	Electron microscopy (77); X-ray crystallography (38)
P0CH09	RL40B_YEAST	Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-B (CEP52) (Large ribosomal subunit protein eL40-B)]	RPL40B UBI2 YKR094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128	14,554	UBI2	RPL40B		YKR094C	PF01020;PF00240;	SSF54236;	Ubiquitin family; Eukaryotic ribosomal protein eL40 family	Electron microscopy (4)
P36517	RM04_YEAST	54S ribosomal protein L4, mitochondrial (Mitochondrial large ribosomal subunit protein uL29m) (YmL4)	MRPL4 YLR439W L9753.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319	36,965		MRPL4	L9753.1	YLR439W	PF06984;		Universal ribosomal protein uL29 family	Electron microscopy (4)
Q03441	RMD1_YEAST	Sporulation protein RMD1 (Required for meiotic nuclear division protein 1)	RMD1 YDL001W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	430	49,932		RMD1		YDL001W	PF02582;		RMD1/sif2 family	
P40422	RPAB4_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha)	RPC10 RPB12 YHR143W-A YHR143BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	70	7,716	RPB12	RPC10	YHR143BW	YHR143W-A	PF03604;	SSF63393;	Archaeal Rpo12/eukaryotic RPC10 RNA polymerase subunit family	Electron microscopy (71); X-ray crystallography (131)
Q04491	SEC13_YEAST	Protein transport protein SEC13	SEC13 ANU3 YLR208W L8167.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	297	33,043	ANU3	SEC13	L8167.4	YLR208W	PF00400;	SSF50978;	WD repeat SEC13 family	Electron microscopy (5); X-ray crystallography (10)
Q12530	RMP1_YEAST	Ribonuclease MRP protein subunit RMP1 (RNA-processing protein RMP1) (RNase MRP 23.6 kDa subunit)	RMP1 YLR145W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	201	23,619		RMP1		YLR145W				Electron microscopy (3)
P36528	RM17_YEAST	54S ribosomal protein L17, mitochondrial (Mitochondrial large ribosomal subunit protein mL46) (YmL17/YmL30)	MRPL17 MRPL30 YNL252C N0864	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281	32,213	MRPL30	MRPL17	N0864	YNL252C	PF11788;		Mitochondrion-specific ribosomal protein mL46 family	Electron microscopy (4)
P53060	RMR1_YEAST	Reduced meiotic recombination protein 1	RMR1 YGL250W NRC245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	241	27,709		RMR1	NRC245	YGL250W	PF10336;		RMR1 family	
P32368	SAC1_YEAST	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Recessive suppressor of secretory defect)	SAC1 RSD1 YKL212W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623	71,125	RSD1	SAC1		YKL212W	PF02383;			X-ray crystallography (2)
P46674	SAC3_YEAST	Nuclear mRNA export protein SAC3 (Leucine permease transcriptional regulator)	SAC3 LEP1 YDR159W YD8358.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1301	149,569	LEP1	SAC3	YD8358.13	YDR159W	PF12209;PF03399;		SAC3 family	Electron microscopy (1); X-ray crystallography (7)
P17121	SAC7_YEAST	GTPase-activating protein SAC7	SAC7 YDR389W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	654	73,629		SAC7		YDR389W	PF00620;	SSF48350;		
P43589	SAD1_YEAST	Pre-mRNA-splicing factor SAD1 (snRNP assembly-defective protein 1)	SAD1 YFR005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	448	52,167		SAD1		YFR005C	PF02148;	SSF54001;		X-ray crystallography (1)
P38072	SCO2_YEAST	Protein SCO2, mitochondrial	SCO2 YBR024W YBR0308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	301	34,889		SCO2	YBR0308	YBR024W	PF02630;	SSF52833;	SCO1/2 family	
Q08873	SCP1_YEAST	Transgelin (Calponin homolog 1)	SCP1 YOR367W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	200	22,748		SCP1		YOR367W	PF00307;	SSF47576;		
P32380	SP110_YEAST	Spindle pole body component 110 (Extragenic suppressor of CMD1-1 mutant protein 1) (Nuclear filament-related protein 1) (Spindle pole body spacer protein SPC110)	SPC110 NUF1 XCM1 YDR356W D9476.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	944	111,782	NUF1 XCM1	SPC110	D9476.3	YDR356W	PF18520;		SPC110 family	Electron microscopy (3); X-ray crystallography (1)
P36068	SHE2_YEAST	SWI5-dependent HO expression protein 2	SHE2 YKL130C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246	28,251		SHE2		YKL130C	PF11435;	SSF116942;	SHE2 family	X-ray crystallography (4)
Q03144	SNO1_YEAST	Pyridoxal 5'-phosphate synthase subunit SNO1 (EC 4.3.3.6) (PDX2 homolog 1) (Pdx2.1) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	SNO1 YMR095C YM6543.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224	24,907		SNO1	YM6543.02C	YMR095C	PF01174;	SSF52317;	Glutaminase PdxT/SNO family	
P53823	SNO2_YEAST	Probable pyridoxal 5'-phosphate synthase subunit SNO2 (EC 4.3.3.6) (PDX2 homolog 2) (Pdx2.2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	SNO2 YNL334C N0285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222	25,208		SNO2	N0285	YNL334C	PF01174;	SSF52317;	Glutaminase PdxT/SNO family	
P43544	SNO3_YEAST	Probable pyridoxal 5'-phosphate synthase subunit SNO3 (EC 4.3.3.6) (PDX2 homolog 3) (Pdx2.3) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	SNO3 YFL060C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222	25,132		SNO3		YFL060C	PF01174;	SSF52317;	Glutaminase PdxT/SNO family	
Q04902	SNO4_YEAST	Probable glutathione-independent glyoxalase SNO4 (EC 4.2.1.130) (Glyoxalase 3 homolog 4) (Heat shock protein 34) (SNZ proximal open reading frame 4)	SNO4 HSP34 YMR322C YM9924.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	26,040	HSP34	SNO4	YM9924.14C	YMR322C		SSF52317;	Peptidase C56 family, HSP31-like subfamily	
P38272	SHE3_YEAST	SWI5-dependent HO expression protein 3	SHE3 YBR130C YBR1005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	425	47,417		SHE3	YBR1005	YBR130C	PF17078;		SHE3 family	X-ray crystallography (5)
P51534	SHE4_YEAST	SWI5-dependent HO expression protein 4	SHE4 YOR035C OR26.26	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	789	89,553		SHE4	OR26.26	YOR035C	PF11701;	SSF48371;		X-ray crystallography (1)
Q08826	SNX3_YEAST	Sorting nexin-3 (Golgi retention deficient protein 19)	SNX3 GRD19 YOR357C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162	18,770	GRD19	SNX3		YOR357C	PF00787;	SSF64268;	Sorting nexin family	X-ray crystallography (2)
P47057	SNX4_YEAST	Sorting nexin-4 (Autophagy-related protein 24) (Cytoplasm to vacuole targeting protein 13)	SNX4 ATG24 CVT13 YJL036W J1244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423	49,002	ATG24 CVT13	SNX4	J1244	YJL036W	PF00787;	SSF103657;SSF64268;	Sorting nexin family	
Q06109	RRG8_YEAST	Required for respiratory growth protein 8, mitochondrial	RRG8 YPR116W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	277	31,133		RRG8		YPR116W	PF17068;		RRG8 family	
Q08774	RRG7_YEAST	Required for respiratory growth protein 7, mitochondrial	RRG7 YOR305W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	242	27,967		RRG7		YOR305W	PF10356;		RRG7 family	
Q04031	RRP17_YEAST	Ribosomal RNA-processing protein 17	RRP17 YDR412W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235	27,974		RRP17		YDR412W	PF09805;		RRP17 family	
O13563	RPN13_YEAST	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156	17,902	DAQ1	RPN13		YLR421C	PF04683;		RPN13 family	Electron microscopy (23); NMR spectroscopy (1)
P23250	RPI1_YEAST	Negative RAS protein regulator protein	RPI1 YIL119C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407	46,623		RPI1		YIL119C				
P14127	RS17B_YEAST	40S ribosomal protein S17-B (RP51B) (Small ribosomal subunit protein eS17-B)	RPS17B RP51B YDR447C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	15,803	RP51B	RPS17B		YDR447C	PF00833;	SSF116820;	Eukaryotic ribosomal protein eS17 family	Electron microscopy (19); X-ray crystallography (3)
P40470	RRT14_YEAST	Regulator of rDNA transcription protein 14	RRT14 YIL127C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	23,845		RRT14		YIL127C	PF17075;		RRT14 family	Electron microscopy (10)
P46948	RRP41_YEAST	Exosome complex component SKI6 (Extracellular mutant protein 20) (Ribosomal RNA-processing protein 41) (Superkiller protein 6)	SKI6 ECM20 RRP41 YGR195W G7587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246	27,561	ECM20 RRP41	SKI6	G7587	YGR195W	PF01138;PF03725;	SSF54211;SSF55666;	RNase PH family	Electron microscopy (6); X-ray crystallography (9)
P26786	RS7A_YEAST	40S ribosomal protein S7-A (RP30) (RP40) (Small ribosomal subunit protein eS7-A)	RPS7A RPS30 YOR096W YOR3177W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190	21,622	RPS30	RPS7A	YOR3177W	YOR096W	PF01251;		Eukaryotic ribosomal protein eS7 family	Electron microscopy (70); X-ray crystallography (37)
P33310	MDL1_YEAST	ATP-dependent permease MDL1, mitochondrial (ABC transporter MDL1) (Multidrug resistance-like protein 1)	MDL1 YLR188W L9470.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	695	75,950		MDL1	L9470.3	YLR188W	PF00664;PF00005;	SSF52540;SSF90123;	ABC transporter superfamily, ABCB family, Mitochondrial peptide exporter (TC 3.A.1.212) subfamily	
P32491	MKK2_YEAST	MAP kinase kinase MKK2/SSP33 (EC 2.7.12.2)	MKK2 SSP33 YPL140C LPI6C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506	56,758	SSP33	MKK2	LPI6C	YPL140C	PF00069;	SSF56112;	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	
P0CE00	MPH3_YEAST	Alpha-glucosides permease MPH3 (Maltose transport protein 3)	MPH3 YJR160C J2400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602	67,257		MPH3	J2400	YJR160C	PF00083;	SSF103473;	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family	
